Datetime,Water Level (m)
2024-10-06 18:00:00,-0.09868302
2024-10-06 19:00:00,0.06154771
2024-10-06 20:00:00,0.3493291
2024-10-06 21:00:00,0.55131316
2024-10-06 22:00:00,0.72738224
2024-10-06 23:00:00,0.8153906
2024-10-07 00:00:00,0.77276003
2024-10-07 01:00:00,0.6767259
2024-10-07 02:00:00,0.55749226
2024-10-07 03:00:00,0.42636526
2024-10-07 04:00:00,0.2812851
2024-10-07 05:00:00,0.14068198
2024-10-07 06:00:00,0.05867173
2024-10-07 07:00:00,0.15842108
2024-10-07 08:00:00,0.34762457
2024-10-07 09:00:00,0.53915507
2024-10-07 10:00:00,0.63843787
2024-10-07 11:00:00,0.66828465
2024-10-07 12:00:00,0.5914297
2024-10-07 13:00:00,0.47698736
2024-10-07 14:00:00,0.3643429
2024-10-07 15:00:00,0.23860389
2024-10-07 16:00:00,0.11116131
2024-10-07 17:00:00,-0.00402709
2024-10-07 18:00:00,-0.06813491
2024-10-07 19:00:00,0.030442439
2024-10-07 20:00:00,0.24198441
2024-10-07 21:00:00,0.47898796
2024-10-07 22:00:00,0.6466252
2024-10-07 23:00:00,0.77741516
2024-10-08 00:00:00,0.79919463
2024-10-08 01:00:00,0.72296965
2024-10-08 02:00:00,0.6234781
2024-10-08 03:00:00,0.50840586
2024-10-08 04:00:00,0.38470322
2024-10-08 05:00:00,0.25323486
2024-10-08 06:00:00,0.15132454
2024-10-08 07:00:00,0.15745945
2024-10-08 08:00:00,0.2872896
2024-10-08 09:00:00,0.45184806
2024-10-08 10:00:00,0.55350673
2024-10-08 11:00:00,0.60778326
2024-10-08 12:00:00,0.58446103
2024-10-08 13:00:00,0.4912979
2024-10-08 14:00:00,0.39007583
2024-10-08 15:00:00,0.27998853
2024-10-08 16:00:00,0.1663776
2024-10-08 17:00:00,0.056962904
2024-10-08 18:00:00,-0.025447804
2024-10-08 19:00:00,-0.007419089
2024-10-08 20:00:00,0.14640917
2024-10-08 21:00:00,0.37968466
2024-10-08 22:00:00,0.53874516
2024-10-08 23:00:00,0.6767392
2024-10-09 00:00:00,0.7542404
2024-10-09 01:00:00,0.7297707
2024-10-09 02:00:00,0.65411204
2024-10-09 03:00:00,0.55571836
2024-10-09 04:00:00,0.4511651
2024-10-09 05:00:00,0.34160095
2024-10-09 06:00:00,0.23858218
2024-10-09 07:00:00,0.18036291
2024-10-09 08:00:00,0.22897463
2024-10-09 09:00:00,0.34091887
2024-10-09 10:00:00,0.45041072
2024-10-09 11:00:00,0.5041374
2024-10-09 12:00:00,0.52292615
2024-10-09 13:00:00,0.47525018
2024-10-09 14:00:00,0.3898746
2024-10-09 15:00:00,0.29773247
2024-10-09 16:00:00,0.19857897
2024-10-09 17:00:00,0.1003887
2024-10-09 18:00:00,0.018779706
2024-10-09 19:00:00,-0.015840145
2024-10-09 20:00:00,0.0668086
2024-10-09 21:00:00,0.23688519
2024-10-09 22:00:00,0.42089832
2024-10-09 23:00:00,0.54436433
2024-10-10 00:00:00,0.65230507
2024-10-10 01:00:00,0.70232457
2024-10-10 02:00:00,0.67719966
2024-10-10 03:00:00,0.6127245
2024-10-10 04:00:00,0.52824247
2024-10-10 05:00:00,0.4403257
2024-10-10 06:00:00,0.3503396
2024-10-10 07:00:00,0.26956382
2024-10-10 08:00:00,0.22792034
2024-10-10 09:00:00,0.2597719
2024-10-10 10:00:00,0.33081222
2024-10-10 11:00:00,0.38723746
2024-10-10 12:00:00,0.4146018
2024-10-10 13:00:00,0.41595286
2024-10-10 14:00:00,0.3782752
2024-10-10 15:00:00,0.31506345
2024-10-10 16:00:00,0.24720384
2024-10-10 17:00:00,0.17013302
2024-10-10 18:00:00,0.09750299
2024-10-10 19:00:00,0.03905059
2024-10-10 20:00:00,0.028866142
2024-10-10 21:00:00,0.11407294
2024-10-10 22:00:00,0.25952092
2024-10-10 23:00:00,0.40173075
2024-10-11 00:00:00,0.5054821
2024-10-11 01:00:00,0.5977422
2024-10-11 02:00:00,0.6471979
2024-10-11 03:00:00,0.6450227
2024-10-11 04:00:00,0.6028035
2024-10-11 05:00:00,0.53896004
2024-10-11 06:00:00,0.46572837
2024-10-11 07:00:00,0.38713872
2024-10-11 08:00:00,0.30631265
2024-10-11 09:00:00,0.23582456
2024-10-11 10:00:00,0.20541999
2024-10-11 11:00:00,0.22887078
2024-10-11 12:00:00,0.27531788
2024-10-11 13:00:00,0.32004267
2024-10-11 14:00:00,0.35438228
2024-10-11 15:00:00,0.3621694
2024-10-11 16:00:00,0.33762488
2024-10-11 17:00:00,0.29705632
2024-10-11 18:00:00,0.23781611
2024-10-11 19:00:00,0.17373578
2024-10-11 20:00:00,0.11336178
2024-10-11 21:00:00,0.075108625
2024-10-11 22:00:00,0.09600322
2024-10-11 23:00:00,0.18872973
2024-10-12 00:00:00,0.32181805
2024-10-12 01:00:00,0.45557722
2024-10-12 02:00:00,0.5659961
2024-10-12 03:00:00,0.6503468
2024-10-12 04:00:00,0.6906532
2024-10-12 05:00:00,0.6758948
2024-10-12 06:00:00,0.6194818
2024-10-12 07:00:00,0.5360821
2024-10-12 08:00:00,0.4398185
2024-10-12 09:00:00,0.33554712
2024-10-12 10:00:00,0.23201504
2024-10-12 11:00:00,0.1508406
2024-10-12 12:00:00,0.13328964
2024-10-12 13:00:00,0.20240353
2024-10-12 14:00:00,0.3002789
2024-10-12 15:00:00,0.39327985
2024-10-12 16:00:00,0.44771832
2024-10-12 17:00:00,0.4740566
2024-10-12 18:00:00,0.45097712
